,kegg_organism_description,kegg_organism_code
0,Thermotoga maritima,tma
1,Aquifex aeolicus,aeo
2,Deinococcus radiodurans,dra
3,Archaeoglobus fulgidus,afu
4,Sulfolobus acidocaldarius,sac
5,Methanobrevibacter smithii,msm
6,Cyanobacterium,cyano
7,Escherichia coli,eco
8,Bacillus subtilis,bsu
9,Staphylococcus aureus,sau
10,Streptococcus pneumoniae,spn
11,Pseudomonas aeruginosa,pae
12,Mycobacterium tuberculosis,mtu
13,Helicobacter pylori,hpy
14,Salmonella enterica,sen
15,Lactobacillus acidophilus,lac
16,Clostridium botulinum,cbo
17,Vibrio cholerae,vch
18,Listeria monocytogenes,lmo
19,Campylobacter jejuni,cje
20,Neisseria gonorrhoeae,ngo
21,Treponema pallidum,tpa
22,Borrelia burgdorferi,bbu
23,Yersinia pestis,ype
24,Chlamydia trachomatis,ctr
25,Legionella pneumophila,lpm
26,Clostridium difficile,cdi
27,Corynebacterium diphtheriae,cdo
28,Mycoplasma pneumoniae,mpn
29,Shigella flexneri,sfl
30,Enterococcus faecalis,efa
31,Bacteroides fragilis,bfr
32,Acinetobacter baumannii,aba
33,Streptococcus pyogenes,spy
34,Klebsiella pneumoniae,kpn
35,Fusobacterium nucleatum,fnu
36,Treponema denticola,tdn
37,Bordetella pertussis,bpe
38,Haemophilus influenzae,hin
39,Staphylococcus epidermidis,sep
40,Actinomyces israelii,ais
41,Propionibacterium acnes,pac
42,Bacillus anthracis,ban
43,Leptospira interrogans,lin
44,Rhizobium leguminosarum,rle
45,Lactococcus lactis,lla
46,Brucella abortus,bab
47,Rickettsia rickettsii,rri
48,Anabaena spp.,ana
49,Thermus aquaticus,taq
