,pathway_name,pathway_description
0,hsa01100,Metabolic pathways - Homo sapiens (human)
1,hsa01200,Carbon metabolism - Homo sapiens (human)
2,hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human)
3,hsa01212,Fatty acid metabolism - Homo sapiens (human)
4,hsa01232,Nucleotide metabolism - Homo sapiens (human)
5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
6,hsa00052,Galactose metabolism - Homo sapiens (human)
7,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
8,hsa00500,Starch and sucrose metabolism - Homo sapiens (human)
9,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
10,hsa00620,Pyruvate metabolism - Homo sapiens (human)
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
12,hsa00640,Propanoate metabolism - Homo sapiens (human)
13,hsa00650,Butanoate metabolism - Homo sapiens (human)
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human)
15,hsa00910,Nitrogen metabolism - Homo sapiens (human)
16,hsa00920,Sulfur metabolism - Homo sapiens (human)
17,hsa00561,Glycerolipid metabolism - Homo sapiens (human)
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human)
19,hsa00565,Ether lipid metabolism - Homo sapiens (human)
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human)
21,hsa00590,Arachidonic acid metabolism - Homo sapiens (human)
22,hsa00591,Linoleic acid metabolism - Homo sapiens (human)
23,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human)
24,hsa00230,Purine metabolism - Homo sapiens (human)
25,hsa00240,Pyrimidine metabolism - Homo sapiens (human)
26,hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"
27,hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)"
28,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human)
29,hsa00330,Arginine and proline metabolism - Homo sapiens (human)
30,hsa00340,Histidine metabolism - Homo sapiens (human)
31,hsa00350,Tyrosine metabolism - Homo sapiens (human)
32,hsa00360,Phenylalanine metabolism - Homo sapiens (human)
33,hsa00380,Tryptophan metabolism - Homo sapiens (human)
34,hsa00410,beta-Alanine metabolism - Homo sapiens (human)
35,hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human)
36,hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human)
37,hsa00450,Selenocompound metabolism - Homo sapiens (human)
38,hsa00470,D-Amino acid metabolism - Homo sapiens (human)
39,hsa00480,Glutathione metabolism - Homo sapiens (human)
40,hsa00730,Thiamine metabolism - Homo sapiens (human)
41,hsa00740,Riboflavin metabolism - Homo sapiens (human)
42,hsa00750,Vitamin B6 metabolism - Homo sapiens (human)
43,hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
44,hsa00780,Biotin metabolism - Homo sapiens (human)
45,hsa00785,Lipoic acid metabolism - Homo sapiens (human)
46,hsa00830,Retinol metabolism - Homo sapiens (human)
47,hsa00860,Porphyrin metabolism - Homo sapiens (human)
48,hsa00232,Caffeine metabolism - Homo sapiens (human)
49,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
50,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
51,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
52,hsa04979,Cholesterol metabolism - Homo sapiens (human)
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human)
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human)
