kegg_organism_code,kegg_organism_description
ddi,Dictyostelium discoideum (cellular slime mold)
sce,Saccharomyces cerevisiae (budding yeast)
spo,Schizosaccharomyces pombe (fission yeast)
ath,Arabidopsis thaliana (thale cress)
zma,Zea mays (maize)
mtr,Medicago truncatula (barrel medic)
osa,Oryza sativa japonica (Japanese rice) (RefSeq)
dosa,Oryza sativa japonica (Japanese rice) (RAPDB)
cre,Chlamydomonas reinhardtii
cel,Caenorhabditis elegans (nematode)
dme,Drosophila melanogaster (fruit fly)
cfa,Canis lupus familiaris (dog)
rno,Rattus norvegicus (rat)
dre,Danio rerio (zebrafish)
tgu,zebra finch
mmu,mouse
hgl,naked mole-rat
pret,guppy
cin,Ciona intestinalis (yellow sea squirt)
smo,Selaginella moellendorffii
ani,Aspergillus nidulans
