,Unnamed: 0,pathway_name,pathway_description,ko_id
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K17497
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00966
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01711
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K02377
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00976
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K05305
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K18334
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00844
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00850
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K19028
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K19029
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01103
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K19030
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K14634
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00846
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00008
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00011
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01623
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803
5,5,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00863
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K01785
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K00849
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K00965
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K01784
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K00963
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K01835
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K15779
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K00844
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K12407
6,6,hsa00052,Galactose metabolism - Homo sapiens (human),K01084
