pathway_name,pathway_description,ko_id
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K17497
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00966
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01711
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K02377
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00976
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K05305
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K18334
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00844
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00850
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K19028
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K19029
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01103
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K19030
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K14634
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00846
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00008
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00011
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01623
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K00863
