kegg_organism_code,kegg_organism_description
tma,Thermotoga maritima
aeo,Aquifex aeolicus
dra,Deinococcus radiodurans
afu,Archaeoglobus fulgidus
sac,Sulfolobus acidocaldarius
msm,Methanobrevibacter smithii
cyano,Cyanobacterium
eco,Escherichia coli
bsu,Bacillus subtilis
sau,Staphylococcus aureus
spn,Streptococcus pneumoniae
pae,Pseudomonas aeruginosa
mtu,Mycobacterium tuberculosis
hpy,Helicobacter pylori
sen,Salmonella enterica
lac,Lactobacillus acidophilus
cbo,Clostridium botulinum
vch,Vibrio cholerae
lmo,Listeria monocytogenes
cje,Campylobacter jejuni
ngo,Neisseria gonorrhoeae
tpa,Treponema pallidum
bbu,Borrelia burgdorferi
ype,Yersinia pestis
ctr,Chlamydia trachomatis
lpm,Legionella pneumophila
cdi,Clostridium difficile
cdo,Corynebacterium diphtheriae
mpn,Mycoplasma pneumoniae
sfl,Shigella flexneri
efa,Enterococcus faecalis
bfr,Bacteroides fragilis
aba,Acinetobacter baumannii
spy,Streptococcus pyogenes
kpn,Klebsiella pneumoniae
fnu,Fusobacterium nucleatum
tdn,Treponema denticola
bpe,Bordetella pertussis
hin,Haemophilus influenzae
sep,Staphylococcus epidermidis
ais,Actinomyces israelii
pac,Propionibacterium acnes
ban,Bacillus anthracis
lin,Leptospira interrogans
rle,Rhizobium leguminosarum
lla,Lactococcus lactis
bab,Brucella abortus
rri,Rickettsia rickettsii
ana,Anabaena spp.
taq,Thermus aquaticus
ddi,Dictyostelium discoideum (cellular slime mold)
sce,Saccharomyces cerevisiae (budding yeast)
spo,Schizosaccharomyces pombe (fission yeast)
ath,Arabidopsis thaliana (thale cress)
zma,Zea mays (maize)
mtr,Medicago truncatula (barrel medic)
osa,Oryza sativa japonica (Japanese rice) (RefSeq)
dosa,Oryza sativa japonica (Japanese rice) (RAPDB)
cre,Chlamydomonas reinhardtii
cel,Caenorhabditis elegans (nematode)
dme,Drosophila melanogaster (fruit fly)
cfa,Canis lupus familiaris (dog)
rno,Rattus norvegicus (rat)
dre,Danio rerio (zebrafish)
tgu,zebra finch
mmu,mouse
hgl,naked mole-rat
pret,guppy
cin,Ciona intestinalis (yellow sea squirt)
smo,Selaginella moellendorffii
ani,Aspergillus nidulans
