A0A096NMS2_PAPAN Papio anubis
A0A1S3ETZ6_DIPOR Dipodomys ordii
A0A1U7QCS9_MESAU Mesocricetus auratus
A0A1U7UAV0_CARSF Carlito syrichta
A0A2K5JTJ0_COLAP Colobus angolensis
A0A2K6DHS4_MACNE Macaca nemestrina
A0A2K6T9B3_SAIBB Saimiri boliviensis
A0A6P5Q4Y5_MUSCR Mus caroli
A0A8B7E9X4_MICMU Microcebus murinus
A0A8B7VRU0_CASCN Castor canadensis
A0A8C6R367_NANGA Nannospalax galili
MPI_PANTR Pan troglodytes
G3I837_CRIGR Cricetulus griseus
G3RFM0_GORGO Gorilla gorilla
G5AL67_HETGA Heterocephalus glaber
G7MYC5_MACMU Macaca mulatta
MPI_HUMAN Homo sapiens
MPI_RAT Rattus norvegicus
MPI_MOUSE Mus musculus
U3CWX3_CALJA Callithrix jacchus
