,ko_id,gene_name,kegg_organism_code,uniprot_id
0,K03841,mmu:14120,mmu,P70695
0,K03841,mmu:14121,mmu,Q9QXD6
0,K03841,rno:24362,rno,P19112
0,K03841,rno:114508,rno,Q9Z1N1
0,K03841,hgl:101708632,hgl,A0A0N8ESW0
0,K03841,cfa:476300,cfa,A0A8C0ME46
0,K03841,tgu:100219012,tgu,H0YQP8
0,K03841,dre:445505,dre,Q68EJ6
0,K03841,dre:282672,dre,Q7T337
0,K03841,dre:335231,dre,Q6PFT1
0,K03841,pret:103470739,pret,A0A3P9PPL1
0,K03841,pret:103473350,pret,A0A3P9Q7Z7
0,K03841,dme:Dmel_CG31692,dme,X2JES1
0,K03841,cel:CELE_K07A3.1,cel,G5EBJ7
0,K03841,ath:AT1G43670,ath,Q9MA79
0,K03841,ath:AT3G54050,ath,P25851
0,K03841,ath:AT5G64380,ath,Q9FMF1
0,K03841,mtr:11430747,mtr,G7IL84
0,K03841,mtr:11416430,mtr,G7JV43
0,K03841,mtr:25498664,mtr,A0A072U1Q8
0,K03841,mtr:25496103,mtr,G8A0S6
0,K03841,osa:4332364,osa,O64422
0,K03841,osa:4338912,osa,A7J2C3
0,K03841,osa:4325071,osa,Q0JHF8
0,K03841,osa:4341770,osa,A0A0P0X080
0,K03841,zma:100273700,zma,B4FUZ3
0,K03841,zma:100281068,zma,B6SRX9
0,K03841,zma:100216767,zma,B6TSK5
0,K03841,zma:100284739,zma,B6TX09
0,K03841,smo:SELMODRAFT_76003,smo,D8QTD0
0,K03841,smo:SELMODRAFT_232133,smo,D8RRD1
0,K03841,smo:SELMODRAFT_102526,smo,D8RVB3
0,K03841,smo:SELMODRAFT_174833,smo,D8RW89
0,K03841,smo:SELMODRAFT_175079,smo,D8RX96
0,K03841,smo:SELMODRAFT_106738,smo,D8S215
0,K03841,smo:SELMODRAFT_233607,smo,D8SBY7
0,K03841,smo:SELMODRAFT_272310,smo,D8TBY3
0,K03841,smo:SELMODRAFT_270139,smo,D8TFK8
0,K03841,cre:CHLRE_12g510650v5,cre,A8IKQ0
0,K03841,sce:YLR377C,sce,P09201
0,K03841,ani:AN5604.2,ani,G5EAZ6
0,K03841,spo:SPBC1198.14c,spo,P09202
0,K03841,ddi:DDB_G0270836,ddi,Q6RYT0
