,ko_id,gene_name,kegg_organism_code,uniprot_id
0,K00937,eco:b2501,eco,P0A7B1
0,K00937,sfl:SF2545,sfl,A0A0H2V1A9
0,K00937,kpn:KPN_02826,kpn,A6TCB5
0,K00937,ype:YPO2836,ype,Q8ZCX2
0,K00937,vch:VC_0723,vch,Q9KU07
0,K00937,pae:PA5242,pae,P0DP44
0,K00937,aeo:O23A_p0716,aeo,A0A1Z1NLC2
0,K00937,ngo:NGO_0003,ngo,Q5FAJ0
0,K00937,bpe:BP1072,bpe,Q7VZ62
0,K00937,rle:RL1599,rle,Q1MIW6
0,K00937,hpy:HP_1010,hpy,O25654
0,K00937,tdn:Suden_1578,tdn,Q30Q76
0,K00937,cje:Cj1359,cje,Q9PMU0
0,K00937,ban:BA_4208,ban,Q81MN9
0,K00937,sep:SE_2034,sep,Q8CR71
0,K00937,mtu:Rv2984,mtu,P9WHV9
0,K00937,msm:MSMEG_2391,msm,A0QUZ3
0,K00937,pac:PPA0343,pac,Q6AAW8
0,K00937,sen:SACE_6140,sen,A4FMN8
0,K00937,ana:alr3593,ana,Q8YR57
0,K00937,aba:Acid345_1035,aba,Q1ISW2
0,K00937,bfr:BF2645,bfr,Q64SY4
0,K00937,bfr:BF3714,bfr,Q64PX4
