,pathway_name,pathway_description,ko_id,gene_name,kegg_organism_code,uniprot_id
7,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,mcc:722129,mcc,G7MYC5
29,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,mmu:110119,mmu,Q924M7
32,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,rno:300741,rno,Q68FX1
37,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,maua:101824154,maua,A0A1U7QCS9
44,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,hgl:101711803,hgl,G5AL67
56,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cfa:478369,cfa,A0A8I3P413
67,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,mpuf:101679187,mpuf,A0A8U0MW46
77,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,fca:101082316,fca,A0A5F5XIZ8
146,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,gga:769765,gga,A0A1D5Q008
221,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,acs:100553935,acs,H9GNX5
241,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,xla:108711318,xla,A0A8J0UV87
242,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,xla:733350,xla,A0A8J0UWU0
250,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,dre:613246,dre,Q3ZB95
276,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,amex:103046304,amex,A0A8B9K0R9
313,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,pret:103465971,pret,A0A3P9PED3
321,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,nfu:107380834,nfu,A0A1A8VDA8
377,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,bfo:118403832,bfo,C3Y7W9
378,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,bfo:118428177,bfo,A0A9J7M3G6
381,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cin:100179626,cin,F7B5B2
383,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,spu:574815,spu,A0A7M7RBS3
388,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,dme:Dmel_CG8417,dme,Q9VH77
493,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,tca:663970,tca,D1ZZV1
559,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,dpx:DAPPUDRAFT_128126,dpx,E9GEW1
593,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cel:CELE_ZK632.4,cel,P34650
594,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cel:CELE_C05C8.7,cel,O16315
634,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,nve:5509476,nve,A7SEE9
645,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,tad:TRIADDRAFT_30639,tad,B3S7P3
648,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ath:AT1G67070,ath,Q9FZH5
649,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ath:AT3G02570,ath,Q9M884
732,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,mtr:25497434,mtr,A0A072TVL2
915,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,osa:4350861,osa,Q2R1L4
916,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,osa:4325991,osa,Q9FTR6
924,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,bdi:100835530,bdi,I1HBM0
925,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,bdi:100843298,bdi,I1IKK4
950,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,zma:100272536,zma,B4FP68
951,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,zma:100272600,zma,B4FPI5
982,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,smo:SELMODRAFT_125724,smo,D8SVH8
983,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,smo:SELMODRAFT_129293,smo,D8SVH8
1001,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,sce:YER003C,sce,P29952
1021,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ppa:PAS_chr3_1115,ppa,C4R6J6
1042,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ncr:NCU07165,ncr,Q870Y1
1043,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ncr:NCU02322,ncr,Q7S4U2
1116,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ani:AN0667.2,ani,P29951
1183,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,spo:SPBC2G2.16,spo,O43014
1185,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cne:CNI02370,cne,Q9HFU4
1186,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cne:CNJ01750,cne,Q5KAG8
1189,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cng:CNAG_04312,cng,J9VS07
1190,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cng:CNAG_04744,cng,J9W0C1
1223,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,scm:SCHCO_02634915,scm,D8QCF3
1224,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,scm:SCHCO_02620263,scm,D8Q279
1231,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,uma:UMAG_06167,uma,A0A0D1BUK2
1245,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ddi:DDB_G0284685,ddi,Q54PA0
1261,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,tet:TTHERM_00684730,tet,I7MMI6
1265,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,tps:THAPSDRAFT_9679,tps,B8CBZ4
1270,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ehx:EMIHUDRAFT_52642,ehx,R1ERK6
1271,hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ehx:EMIHUDRAFT_52327,ehx,R1BN97
6577,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mcc:100430821,mcc,F6YGD4
6623,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mmu:14120,mmu,P70695
