,ko_id,gene_name,kegg_organism_code,uniprot_id
0,K01809,eco:b1613,eco,P00946
0,K01809,sfl:SF1636,sfl,Q83KZ1
0,K01809,kpn:KPN_01515,kpn,A6T8M5
0,K01809,ype:YPO2263,ype,A0A5P8YFI9
0,K01809,vch:VC_0269,vch,Q9KV87
0,K01809,vch:VC_1827,vch,Q9KR20
0,K01809,aeo:O23A_p2214,aeo,A0A1Z1NQ73
0,K01809,bsu:BSU05870,bsu,O05511
0,K01809,bsu:BSU12020,bsu,O31646
0,K01809,bsu:BSU35790,bsu,P39841
0,K01809,sau:SA1945,sau,A0A0H3JM65
0,K01809,sau:SA2435,sau,A0A0H3JPB0
0,K01809,sac:SACOL2135,sac,A0A0H2WZI8
0,K01809,sac:SACOL2664,sac,A0A0H2X0C4
0,K01809,sep:SE_1743,sep,A0A0H2VHM0
0,K01809,sep:SE_2229,sep,A0A0H2VJU3
0,K01809,lmo:lmo2110,lmo,Q8Y5F4
0,K01809,lin:lin2215,lin,Q929Q9
0,K01809,lla:L179409,lla,Q9CHG2
0,K01809,spy:SPy_1810,spy,Q99Y94
0,K01809,spn:SP_0736,spn,A0A0H2UPF1
0,K01809,lac:LBA0745,lac,Q5FL11
0,K01809,efa:EF2589,efa,Q831C2
0,K01809,cbo:CBO0412,cbo,A5HYV6
0,K01809,mtu:Rv3255c,mtu,O05898
0,K01809,msm:MSMEG_1371,msm,A0QS69
0,K01809,msm:MSMEG_1836,msm,A0QTG8
0,K01809,cdi:DIP0689,cdi,Q6NIS7
0,K01809,cdo:CDOO_03635,cdo,A0A097IE76
0,K01809,pac:PPA0008,pac,Q6ABL0
0,K01809,pac:PPA0451,pac,Q6AAL3
0,K01809,sen:SACE_6227,sen,A4FMX5
0,K01809,sen:SACE_6457,sen,A4FNK1
0,K01809,ana:all4342,ana,Q8YP58
0,K01809,ana:all4538,ana,Q8YNM6
0,K01809,dra:DR_A0048,dra,Q9RZA6
0,K01809,bbu:BB_0407,bbu,O51368
0,K01809,aba:Acid345_0569,aba,Q1IU76
0,K01809,bfr:BF1656,bfr,Q64VS2
0,K01809,tma:TM0736,tma,Q9WZJ5
0,K01809,afu:AF_0035,afu,O30200
0,K00966,tdn:Suden_0175,tdn,Q30U75
0,K00966,mtu:Rv3264c,mtu,L7N6A5
0,K00966,cdi:DIP0682,cdi,Q6NIT4
0,K00966,cdo:CDOO_03605,cdo,A0A097IE85
0,K00966,sen:SACE_6470,sen,A4FNL4
0,K00966,ana:alr3400,ana,Q8YRP4
0,K00966,dra:DR_0710,dra,Q9RWF8
0,K00966,aba:Acid345_3938,aba,Q1IJL2
0,K01711,eco:b2053,eco,P0AC88
0,K01711,sfl:SF2116,sfl,P0AC91
0,K01711,vch:VC_0243,vch,Q06952
0,K01711,pae:PA5453,pae,Q51366
0,K01711,ais:BUW96_11640,ais,A0A6S7FB61
0,K01711,rle:RL0825,rle,Q7WYQ5
0,K01711,rle:pRL90133,rle,Q1M8U0
0,K01711,hpy:HP_0044,hpy,O24885
0,K01711,tdn:Suden_1704,tdn,Q30PV1
0,K01711,mtu:Rv1511,mtu,P71790
0,K01711,ana:alr3424,ana,Q8YRM2
0,K01711,ana:asl4827,ana,Q8YMU9
0,K01711,ana:all4828,ana,Q8YMU8
0,K01711,aba:Acid345_3814,aba,Q1IJY6
0,K01711,bfr:BF1823,bfr,Q64VA8
0,K02377,eco:b2052,eco,P32055
0,K02377,sfl:SF2115,sfl,A0A0H2VWE4
0,K02377,ais:BUW96_11645,ais,A0A6S7F6N1
0,K02377,rle:RL0826,rle,Q1ML33
0,K02377,rle:pRL90132,rle,Q1M8U1
0,K02377,hpy:HP_0045,hpy,O24886
0,K02377,cje:Cj1428c,cje,Q0P8I6
0,K02377,mtu:Rv1512,mtu,P71791
0,K02377,ana:all4826,ana,Q8YMV0
0,K02377,aba:Acid345_3813,aba,Q1IJY7
0,K02377,bfr:BF1822,bfr,Q64VA9
0,K18334,ype:YPO1567,ype,Q0WGK8
0,K18334,rle:pRL110598,rle,Q1M5D8
0,K18334,sen:SACE_1998,sen,A4FB83
0,K18334,sen:SACE_3937,sen,A4FGN3
0,K00844,tpa:TP_0505,tpa,O83518
0,K00844,bfr:BF2523,bfr,Q64TA7
0,K00850,eco:b3916,eco,P0A796
0,K00850,sfl:SF3994,sfl,P0A798
0,K00850,kpn:KPN_04193,kpn,A6TG88
0,K00850,kpn:KPN_04223,kpn,A6TGB8
0,K00850,ype:YPO0078,ype,Q8ZJL6
0,K00850,bab:bbp_284,bab,P59563
0,K00850,hin:HI_0982,hin,P43863
0,K00850,vch:VC_2689,vch,Q9KNP2
0,K00850,aeo:O23A_p1528,aeo,A0A0W0B7J0
0,K00850,tdn:Suden_0549,tdn,Q30T53
0,K00850,bsu:BSU29190,bsu,O34529
0,K00850,ban:BA_4844,ban,Q81KZ0
0,K00850,sau:SA1521,sau,P99165
0,K00850,sac:SACOL1746,sac,Q5HF75
0,K00850,sep:SE_1374,sep,Q8CS68
0,K00850,lmo:lmo1571,lmo,Q8Y6W0
0,K00850,lin:lin1606,lin,Q92BE4
0,K00850,lla:L0002,lla,P0DOB5
0,K00850,spy:SPy_1283,spy,Q99ZD0
0,K00850,spn:SP_0896,spn,Q97RC6
0,K00850,lac:LBA0956,lac,Q5FKG6
0,K00850,efa:EF1045,efa,Q836R3
0,K00850,cbo:CBO3373,cbo,A5I798
0,K00850,mpn:MPN_302,mpn,P75476
0,K00850,pac:PPA2267,pac,Q6A5J4
0,K00850,dra:DR_0635,dra,Q9RWN1
0,K00850,ctr:CT_205,ctr,O84208
0,K00850,bbu:BB_0727,bbu,O51669
