Entry	Gene Names	Protein names	Organism	Annotation	Binding site
P0A7B1	ppk b2501 JW2486	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Escherichia coli (strain K12)	5.0	BINDING 45; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347, ECO:0007744|PDB:1XDP"; BINDING 375; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347, ECO:0007744|PDB:1XDP"; BINDING 405; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347, ECO:0007744|PDB:1XDP"; BINDING 468; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347, ECO:0007744|PDB:1XDP"; BINDING 564; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347, ECO:0007744|PDB:1XDP"; BINDING 592; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347, ECO:0007744|PDB:1XDP"
P9WHV9	ppk Rv2984 MTCY349.03c	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	4.0	BINDING 91; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 431; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 461; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 524; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 624; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 652; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
Q9KU07	ppk VC_0723	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	3.0	BINDING 45; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 373; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 403; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 466; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 562; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 590; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
O25654	ppk HP_1010	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	3.0	BINDING 42; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 372; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 401; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 464; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 558; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 586; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
P0DP44	ppk PA5242	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	3.0	BINDING 45; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 375; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 405; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 468; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 564; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 592; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
Q81MN9	ppk BA_4208 GBAA_4208 BAS3903	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Bacillus anthracis	3.0	BINDING 55; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 389; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 419; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 482; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 578; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 606; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
Q8ZCX2	ppk YPO2836 y1398 YP_2703	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Yersinia pestis	3.0	BINDING 45; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 373; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 403; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 466; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 562; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 590; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
Q5FAJ0	ppk NGO0003	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	3.0	BINDING 45; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 375; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 405; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 468; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 564; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 592; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
Q8CR71	ppk SE_2034	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)	3.0	BINDING 67; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 392; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 422; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 485; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 581; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 609; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
Q9PMU0	ppk Cj1359	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	3.0	BINDING 45; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 367; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 397; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 460; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 553; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"; BINDING 580; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_00347"
