ko_id,gene_name
K01809,hsa:4351
K01809,ptr:453748
K01809,pps:100971759
K01809,ggo:101133018
K01809,pon:100461189
K01809,nle:100587623
K01809,hmh:116481907
K01809,mcc:722129
K01809,mcf:101867469
K01809,mthb:126960005
K01809,mni:105490968
K01809,csab:103245322
K01809,caty:105600053
K01809,panu:101004556
K01809,tge:112627695
K01809,mleu:105554097
K01809,rro:104672158
K01809,rbb:108531481
K01809,tfn:117070357
K01809,pteh:111529686
K01809,cang:105505158
K01809,cjc:100400555
K01809,sbq:101036209
K01809,cimi:108296973
K01809,csyr:103266563
K01809,mmur:105854859
K01809,lcat:123624432
K01809,pcoq:105807269
K01809,oga:100965902
K01809,mmu:110119
K01809,mcal:110301277
K01809,mpah:110328039
K01809,rno:300741
K01809,mcoc:116071968
K01809,anu:117698976
K01809,mun:110558536
K01809,cge:100764596
K01809,maua:101824154
K01809,prob:127231806
K01809,pleu:114690334
K01809,morg:121445356
K01809,mfot:126507540
K01809,aamp:119808961
K01809,ngi:103736881
K01809,hgl:101711803
K01809,cpoc:100713995
K01809,ccan:109695946
K01809,dord:105982390
K01809,dsp:122098443
K01809,plop:125368492
K01809,ncar:124977057
K01809,mmma:107137944
K01809,ocu:100346668
K01809,opi:101530230
K01809,tup:102491972
K01809,gvr:103603974
K01809,cfa:478369
K01809,clud:112675574
K01809,vvp:112909341
K01809,vlg:121485735
K01809,npo:129506288
K01809,aml:100471776
K01809,umr:103678984
K01809,uah:113240979
K01809,uar:123790675
K01809,elk:111153166
K01809,llv:125103823
K01809,mpuf:101679187
K01809,mnp:131999161
K01809,mlk:131835770
K01809,nvs:122894406
K01809,oro:101380523
K01809,eju:114206373
K01809,zca:113909076
K01809,mlx:118002952
K01809,nsu:110583839
K01809,lww:102736621
K01809,fca:101082316
K01809,pyu:121042001
K01809,pcoo:112855272
K01809,pbg:122468415
K01809,lruf:124508403
K01809,ptg:102968767
K01809,ppad:109262679
K01809,puc:125910164
K01809,aju:106979421
K01809,hhv:120235719
K01809,bta:513586
K01809,bom:102279311
K01809,biu:109575604
K01809,bbub:102401830
K01809,bbis:104990983
K01809,chx:102168393
K01809,oas:101107901
K01809,btax:128066403
K01809,oda:120875464
K01809,ccad:122455142
K01809,mbez:129550454
K01809,ssc:100154551
K01809,cfr:102519312
K01809,cbai:105069184
K01809,cdk:105087253
K01809,vpc:102531885
K01809,bacu:103004796
K01809,lve:103073342
K01809,oor:101288836
K01809,dle:111177823
K01809,pcad:102986201
K01809,psiu:116749327
K01809,nasi:112410937
K01809,ecb:100062077
K01809,epz:103552341
K01809,eai:106831272
K01809,myb:102259674
K01809,myd:102759409
K01809,mmyo:118675970
K01809,mlf:102441713
K01809,mna:107535176
K01809,pkl:118728747
K01809,efus:103300184
K01809,hai:109396276
K01809,dro:112301879
K01809,shon:118987747
K01809,ajm:119046564
K01809,pdic:114492521
K01809,phas:123825092
K01809,mmf:118616030
K01809,rfq:117023545
