,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K02112,eco:b3732,eco,P0ABB4,target_prokaryotes.csv
0,K02112,sfl:SF3812,sfl,P0ABB7,target_prokaryotes.csv
0,K02112,kpn:KPN_04137,kpn,A6TG36,target_prokaryotes.csv
0,K02112,ype:YPO4121,ype,Q7CFM8,target_prokaryotes.csv
0,K02112,bab:bbp_008,bab,Q89B39,target_prokaryotes.csv
0,K02112,hin:HI_0479,hin,P43715,target_prokaryotes.csv
0,K02112,vch:VC_2764,vch,Q9KNH5,target_prokaryotes.csv
0,K02112,pae:PA5554,pae,Q9HT20,target_prokaryotes.csv
0,K02112,aeo:O23A_p3671,aeo,A0A0W0B135,target_prokaryotes.csv
0,K02112,ngo:NGO_2150,ngo,Q5F4Z0,target_prokaryotes.csv
0,K02112,bpe:BP3288,bpe,Q7VU44,target_prokaryotes.csv
0,K02112,ais:BUW96_27670,ais,A0A6S7FAM5,target_prokaryotes.csv
0,K02112,rri:A1G_06760,rri,A8GTS6,target_prokaryotes.csv
0,K02112,rle:RL4407,rle,Q1MAZ2,target_prokaryotes.csv
0,K02112,hpy:HP_1132,hpy,P55988,target_prokaryotes.csv
0,K02112,tdn:Suden_1403,tdn,Q30QQ1,target_prokaryotes.csv
0,K02112,cje:Cj0107,cje,Q0PC30,target_prokaryotes.csv
0,K02112,bsu:BSU36810,bsu,P37809,target_prokaryotes.csv
0,K02112,ban:BA_5547,ban,Q81JZ5,target_prokaryotes.csv
0,K02112,sau:SA1905,sau,P99112,target_prokaryotes.csv
0,K02112,sac:SACOL2095,sac,Q5HE97,target_prokaryotes.csv
0,K02112,sep:SE_1700,sep,Q8CNJ7,target_prokaryotes.csv
0,K02112,lmo:lmo0092,lmo,Q8YAM6,target_prokaryotes.csv
0,K02112,lmo:lmo2529,lmo,Q8Y4C1,target_prokaryotes.csv
0,K02112,lin:lin0138,lin,Q92FG8,target_prokaryotes.csv
0,K02112,lin:atpD,lin,Q927W4,target_prokaryotes.csv
0,K02112,lla:L6563,lla,Q9CES0,target_prokaryotes.csv
0,K02112,spy:SPy_0760,spy,Q9A0I7,target_prokaryotes.csv
0,K02112,spn:SP_1508,spn,Q97PT6,target_prokaryotes.csv
0,K02112,lac:LBA0778,lac,Q5FKY0,target_prokaryotes.csv
0,K02112,efa:EF2608,efa,Q831A5,target_prokaryotes.csv
0,K02112,cbo:CBO0156,cbo,A5HY52,target_prokaryotes.csv
0,K02112,mpn:MPN_598,mpn,Q50331,target_prokaryotes.csv
0,K02112,mtu:Rv1310,mtu,P9WPU5,target_prokaryotes.csv
0,K02112,msm:MSMEG_4936,msm,A0R200,target_prokaryotes.csv
0,K02112,cdi:DIP1052,cdi,Q6NHS9,target_prokaryotes.csv
0,K02112,pac:PPA1239,pac,Q6A8C7,target_prokaryotes.csv
0,K02112,sen:SACE_6280,sen,A4FN27,target_prokaryotes.csv
0,K02112,ana:all5039,ana,P06540,target_prokaryotes.csv
0,K02112,aba:Acid345_4332,aba,Q1IIG8,target_prokaryotes.csv
0,K02112,fnu:FN0358,fnu,Q8RGE2,target_prokaryotes.csv
0,K02112,bfr:BF2171,bfr,P13356,target_prokaryotes.csv
0,K02112,tma:TM1610,tma,O50550,target_prokaryotes.csv
